0,4
1,13
2,23
3,2
4,18
5,17
6,18
7,23
8,22
9,20
10,2
11,9
12,11
13,19
14,4
15,5
16,6
17,8
18,2
19,5
20,16
21,0
22,9
23,17
24,8
25,1
26,21
27,8
28,24
29,12
30,3
31,23
32,10
33,16
34,10
35,23
36,6
37,19
38,15
39,15
40,16
41,11
42,13
43,1
44,13
45,7
46,10
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,9
55,14
56,0
57,9
58,15
59,14
60,7
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,1
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,19

Confusion Matrix
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Precision
A,0.75
B,0.6666666666666666
C,1.0
D,1.0
E,1.0
F,0.5
G,0.8
H,0.5
I,0.75
J,0.5
K,0.3333333333333333
L,1.0
M,1.0
N,1.0
O,1.0
P,0.75
Q,1.0
R,1.0
S,0.6666666666666666
T,0.6666666666666666
U,1.0
V,1.0
W,1.0
X,0.5
Y,1.0
Z,0.0

Recall
A,0.75
B,1.0
C,1.0
D,0.6666666666666666
E,1.0
F,0.5
G,1.0
H,0.6666666666666666
I,1.0
J,0.5
K,0.3333333333333333
L,0.75
M,0.6666666666666666
N,0.75
O,1.0
P,1.0
Q,1.0
R,0.75
S,0.6666666666666666
T,1.0
U,1.0
V,1.0
W,1.0
X,1.0
Y,1.0
Z,0.0

F1-Measure
A,0.75
B,0.8
C,1.0
D,0.8
E,1.0
F,0.5
G,0.888888888888889
H,0.5714285714285715
I,0.8571428571428571
J,0.5
K,0.3333333333333333
L,0.8571428571428571
M,0.8
N,0.8571428571428571
O,1.0
P,0.8571428571428571
Q,1.0
R,0.8571428571428571
S,0.6666666666666666
T,0.8
U,1.0
V,1.0
W,1.0
X,0.6666666666666666
Y,1.0
Z,0.0

Occurence Count
A,4
B,2
C,4
D,3
E,2
F,2
G,4
H,3
I,3
J,4
K,3
L,4
M,3
N,4
O,3
P,3
Q,3
R,4
S,3
T,2
U,3
V,3
W,3
X,2
Y,3
Z,3

Accuracy,0.8
Macro F1-Measure,0.7831807081807083
Weighted F1-Measure,0.7878968253968254
